
Ano,Bairro_oficial,Atendimentos,Pacientes_unicos
2020,AGUA RASA,80,2
2020,ALTO DE PINHEIROS,158,7
2020,ANHANGUERA,2,1
2020,BARRA FUNDA,1,1
2020,BELA VISTA,75,6
2020,BOM RETIRO,7,1
2020,BUTANTA,1,1
2020,CAMPO BELO,180,8
2020,CAMPO GRANDE,1,1
2020,CID ADEMAR,81,9
2020,CID DUTRA,42,1
2020,CID TIRADENTES,8,1
2020,CONSOLACAO,2093,120
2020,IPIRANGA,139,11
2020,ITAIM BIBI,578,32
2020,ITAIM PAULISTA,115,8
2020,JABAQUARA,22,2
2020,JACANA,60,3
2020,JD HELENA,5,1
2020,JD PAULISTA,3440,176
2020,LAPA,27,4
2020,LIBERDADE,115,9
2020,MOEMA,308,17
2020,MOOCA,67,2
2020,MORUMBI,305,17
2020,PARQUE DO CARMO,22,2
2020,PERDIZES,258,19
2020,PINHEIROS,1367,68
2020,PIRITUBA,16,1
2020,SANTA CECILIA,219,18
2020,SANTANA,77,3
2020,SANTO AMARO,117,6
2020,SAPOPEMBA,1,1
2020,SAUDE,2,1
2020,TATUAPE,4,1
2020,TUCURUVI,53,1
2020,VILA ANDRADE,8,1
2020,VILA CURUCA,4,2
2020,VILA FORMOSA,11,2
2020,VILA LEOPOLDINA,54,4
2020,VILA MARIA,136,7
2020,VILA MARIANA,1060,68
2020,VILA MATILDE,4,3
2020,VILA MEDEIROS,246,13
2020,VILA PRUDENTE,87,6
2020,VILA SONIA,69,6
2021,AGUA RASA,86,3
2021,ALTO DE PINHEIROS,430,13
2021,BARRA FUNDA,10,2
2021,BELA VISTA,153,11
2021,BOM RETIRO,1,1
2021,BUTANTA,19,3
2021,CAMBUCI,68,8
2021,CAMPO BELO,63,7
2021,CAMPO GRANDE,14,2
2021,CASA VERDE,2,1
2021,CID ADEMAR,112,5
2021,CID DUTRA,23,1
2021,CID TIRADENTES,126,7
2021,CONSOLACAO,4273,193
2021,IPIRANGA,279,11
2021,ITAIM BIBI,1137,40
2021,ITAIM PAULISTA,247,18
2021,JABAQUARA,1,1
2021,JACANA,106,6
2021,JAGUARA,58,1
2021,JAGUARE,7,1
2021,JD PAULISTA,5058,252
2021,LAPA,4,2
2021,LIBERDADE,194,12
2021,MOEMA,640,32
2021,MOOCA,152,3
2021,MORUMBI,409,21
2021,PARQUE DO CARMO,6,2
2021,PERDIZES,861,33
2021,PINHEIROS,2095,105
2021,PIRITUBA,28,1
2021,SANTA CECILIA,480,29
2021,SANTANA,96,6
2021,SANTO AMARO,133,8
2021,SAUDE,33,5
2021,TATUAPE,109,3
2021,TUCURUVI,3,1
2021,VILA ANDRADE,29,9
2021,VILA CURUCA,35,5
2021,VILA FORMOSA,65,4
2021,VILA LEOPOLDINA,48,5
2021,VILA MARIA,157,11
2021,VILA MARIANA,2166,128
2021,VILA MEDEIROS,159,19
2021,VILA PRUDENTE,36,6
2021,VILA SONIA,44,5
2022,AGUA RASA,53,4
2022,ALTO DE PINHEIROS,413,15
2022,BARRA FUNDA,1,1
2022,BELA VISTA,186,14
2022,BOM RETIRO,3,3
2022,BUTANTA,20,2
2022,CAMBUCI,56,4
2022,CAMPO BELO,83,11
2022,CAMPO GRANDE,7,1
2022,CASA VERDE,10,2
2022,CID ADEMAR,192,9
2022,CID DUTRA,53,3
2022,CID TIRADENTES,115,6
2022,CONSOLACAO,5203,247
2022,GRAJAU,10,1
2022,IPIRANGA,355,17
2022,ITAIM BIBI,775,44
2022,ITAIM PAULISTA,373,29
2022,JABAQUARA,5,2
2022,JACANA,103,4
2022,JAGUARA,53,2
2022,JAGUARE,12,1
2022,JARAGUA,18,2
2022,JD PAULISTA,6519,313
2022,LAPA,3,2
2022,LIBERDADE,217,15
2022,MARSILAC,2,1
2022,MOEMA,896,40
2022,MOOCA,92,6
2022,MORUMBI,480,28
2022,PARI,10,1
2022,PARQUE DO CARMO,11,3
2022,PEDREIRA,14,1
2022,PENHA,30,1
2022,PERDIZES,962,36
2022,PINHEIROS,2520,154
2022,PIRITUBA,5,1
2022,SANTA CECILIA,738,40
2022,SANTANA,225,7
2022,SANTO AMARO,23,3
2022,SAO LUCAS,13,1
2022,SAUDE,42,6
2022,SE,4,1
2022,TATUAPE,74,1
2022,TREMEMBE,1,1
2022,TUCURUVI,13,1
2022,VILA ANDRADE,48,6
2022,VILA CURUCA,63,8
2022,VILA FORMOSA,5,2
2022,VILA GUILHERME,70,2
2022,VILA JACUI,20,3
2022,VILA LEOPOLDINA,98,5
2022,VILA MARIA,242,21
2022,VILA MARIANA,3026,160
2022,VILA MATILDE,68,6
2022,VILA MEDEIROS,153,17
2022,VILA PRUDENTE,58,3
2022,VILA SONIA,178,9
2023,AGUA RASA,19,3
2023,ALTO DE PINHEIROS,422,17
2023,BARRA FUNDA,8,1
2023,BELA VISTA,390,22
2023,BOM RETIRO,12,1
2023,BRAS,46,1
2023,BUTANTA,1,1
2023,CACHOEIRINHA,11,1
2023,CAMBUCI,30,3
2023,CAMPO BELO,120,10
2023,CAMPO GRANDE,5,2
2023,CANGAIBA,14,3
2023,CID ADEMAR,155,7
2023,CID DUTRA,11,1
2023,CID TIRADENTES,180,6
2023,CONSOLACAO,6415,294
2023,IPIRANGA,340,19
2023,ITAIM BIBI,1162,57
2023,ITAIM PAULISTA,277,23
2023,JABAQUARA,17,4
2023,JACANA,24,5
2023,JAGUARA,35,1
2023,JAGUARE,15,2
2023,JARAGUA,21,3
2023,JD HELENA,2,1
2023,JD PAULISTA,7800,360
2023,LAPA,122,8
2023,LIBERDADE,387,23
2023,MOEMA,616,39
2023,MOOCA,39,3
2023,MORUMBI,674,29
2023,PARQUE DO CARMO,41,5
2023,PERDIZES,905,43
2023,PINHEIROS,2786,134
2023,PIRITUBA,1,1
2023,PONTE RASA,4,1
2023,RAPOSO TAVARES,1,1
2023,REPUBLICA,12,2
2023,RIO PEQUENO,2,1
2023,SANTA CECILIA,1121,42
2023,SANTANA,57,5
2023,SANTO AMARO,55,6
2023,SAO LUCAS,38,3
2023,SAUDE,53,5
2023,TATUAPE,86,3
2023,TUCURUVI,3,1
2023,VILA ANDRADE,153,11
2023,VILA CURUCA,33,5
2023,VILA FORMOSA,6,4
2023,VILA GUILHERME,16,1
2023,VILA LEOPOLDINA,255,9
2023,VILA MARIA,176,16
2023,VILA MARIANA,3346,160
2023,VILA MATILDE,24,4
2023,VILA MEDEIROS,278,23
2023,VILA PRUDENTE,24,4
2023,VILA SONIA,213,13
2024,AGUA RASA,105,8
2024,ALTO DE PINHEIROS,475,21
2024,ARICANDUVA,26,2
2024,BARRA FUNDA,127,7
2024,BELA VISTA,201,26
2024,BOM RETIRO,13,2
2024,BRAS,55,2
2024,BUTANTA,93,11
2024,CAMBUCI,105,7
2024,CAMPO BELO,134,10
2024,CAMPO GRANDE,15,4
2024,CAMPO LIMPO,4,1
2024,CASA VERDE,23,3
2024,CID ADEMAR,88,6
2024,CID DUTRA,15,2
2024,CID TIRADENTES,171,7
2024,CONSOLACAO,6879,358
2024,IPIRANGA,220,15
2024,ITAIM BIBI,811,55
2024,ITAIM PAULISTA,379,26
2024,JABAQUARA,90,8
2024,JACANA,81,8
2024,JAGUARA,21,1
2024,JARAGUA,1,1
2024,JD ANGELA,16,2
2024,JD PAULISTA,8971,391
2024,LAPA,70,8
2024,LIBERDADE,338,23
2024,MOEMA,710,48
2024,MOOCA,64,3
2024,MORUMBI,592,32
2024,PARI,5,2
2024,PARQUE DO CARMO,47,3
2024,PERDIZES,861,41
2024,PINHEIROS,2255,133
2024,PIRITUBA,24,2
2024,PONTE RASA,4,1
2024,REPUBLICA,25,2
2024,SANTA CECILIA,1122,47
2024,SANTANA,84,4
2024,SANTO AMARO,166,11
2024,SAUDE,54,3
2024,TATUAPE,65,3
2024,VILA ANDRADE,147,11
2024,VILA CURUCA,49,6
2024,VILA FORMOSA,16,2
2024,VILA GUILHERME,6,1
2024,VILA JACUI,1,1
2024,VILA LEOPOLDINA,155,11
2024,VILA MARIA,86,14
2024,VILA MARIANA,3510,184
2024,VILA MEDEIROS,292,19
2024,VILA PRUDENTE,6,4
2024,VILA SONIA,133,12
Todos os anos,AGUA RASA,343,13
Todos os anos,ALTO DE PINHEIROS,1898,48
Todos os anos,ANHANGUERA,2,1
Todos os anos,ARICANDUVA,26,2
Todos os anos,BARRA FUNDA,147,11
Todos os anos,BELA VISTA,1005,61
Todos os anos,BOM RETIRO,36,6
Todos os anos,BRAS,101,2
Todos os anos,BUTANTA,134,15
Todos os anos,CACHOEIRINHA,11,1
Todos os anos,CAMBUCI,259,16
Todos os anos,CAMPO BELO,580,30
Todos os anos,CAMPO GRANDE,42,9
Todos os anos,CAMPO LIMPO,4,1
Todos os anos,CANGAIBA,14,3
Todos os anos,CASA VERDE,35,6
Todos os anos,CID ADEMAR,628,22
Todos os anos,CID DUTRA,144,6
Todos os anos,CID TIRADENTES,600,17
Todos os anos,CONSOLACAO,24863,765
Todos os anos,GRAJAU,10,1
Todos os anos,IPIRANGA,1333,36
Todos os anos,ITAIM BIBI,4463,155
Todos os anos,ITAIM PAULISTA,1391,68
Todos os anos,JABAQUARA,135,15
